weekday;day;month;year;time;EA+ GERAL 1 BVTP1 (KWh);EA+ QGD 1 ALF2A1 (KWh);EA+ GERAL 2 BVTP1 (KWh);EA+ QGD 2 ALF1P0 (KWh);EA+ QGD 1 ALF1P0 (KWh);EA+ Geral ALF2A7+A8 (KWh);EA+ GERAL 1 RAN (KWh);EA+ BVTP0 (KWh);EA+ GERAL 2 RAN (KWh);EA+ GERAL CMB (KWh);EA+ GERAL PDG (KWh);EA+ GERAL FAR (KWh);EA+ GERAL 1 SNT (KWh);EA+ QGD 2 ALF1P-1 (KWh);EA+ GERAL MAT (KWh);EA+ Q.INV1 FNC (KWh);EA+ GERAL AVR (KWh);EA+ QGD 1 ALF1P-1 (KWh);EA+ GERAL PTM (KWh);EA+ GERAL 2 SNT (KWh);EA+ GERAL FMC (KWh)
Fri;1;1;2016;00:00;39.76;22.22;1.59;25.7;12.0;132.52;17.0;63.04;30.0;24.0;6.0;13.0;14.39;44.0;44.0;8.67;26.3;39.0;4.0;16.35;21.0
Fri;1;1;2016;00:15;40.87;21.91;1.57;25.6;10.0;133.61;17.0;65.44;30.0;24.0;5.0;13.0;14.41;43.0;44.0;8.58;25.37;39.0;5.0;16.35;21.0
Fri;1;1;2016;00:30;40.48;24.14;1.59;25.4;12.0;130.95;18.0;70.03;30.0;24.0;6.0;12.5;14.4;44.0;45.0;8.69;24.86;38.0;5.0;16.35;21.0
Fri;1;1;2016;00:45;39.67;24.0;1.57;25.6;10.0;131.69;18.0;69.99;31.0;24.0;6.0;13.5;13.87;43.0;44.0;9.32;25.4;39.0;4.0;16.36;21.0
Fri;1;1;2016;01:00;40.42;22.08;1.59;25.5;10.0;132.23;18.0;70.01;30.0;24.0;6.0;13.5;13.83;45.0;44.0;8.18;24.94;39.0;5.0;16.32;22.0
Fri;1;1;2016;01:15;39.49;24.65;1.58;25.5;12.0;130.08;19.0;69.99;29.0;24.0;6.0;12.5;13.83;44.0;45.0;8.86;30.14;39.0;5.0;16.36;21.0
Fri;1;1;2016;01:30;38.1;22.22;1.6;25.5;8.0;134.03;19.0;69.99;29.0;24.0;6.0;13.0;13.83;43.0;43.0;8.98;25.5;38.0;5.0;16.33;21.0
Fri;1;1;2016;01:45;40.0;23.09;1.57;25.7;14.0;129.91;18.0;69.97;30.0;24.0;6.0;12.5;13.8;44.0;45.0;8.37;25.51;39.0;5.0;16.41;21.0
Fri;1;1;2016;02:00;42.06;24.68;1.59;25.5;7.0;131.25;19.0;69.86;30.0;25.0;5.0;12.5;13.79;43.0;44.0;9.05;24.74;40.0;4.0;16.29;21.0
Fri;1;1;2016;02:15;40.06;22.78;1.57;25.7;13.0;132.58;17.0;69.89;30.0;24.0;7.0;13.0;13.82;43.0;44.0;8.21;25.58;39.0;5.0;16.33;21.0
Fri;1;1;2016;02:30;40.65;22.16;1.59;25.3;9.0;130.49;18.0;69.89;28.0;24.0;5.0;14.0;13.81;44.0;45.0;9.1;27.15;39.0;5.0;16.31;22.0
Fri;1;1;2016;02:45;40.05;21.99;1.57;25.7;11.0;131.61;19.0;69.87;30.0;24.0;7.0;13.0;13.81;43.0;46.0;8.21;25.61;38.0;4.0;16.37;21.0
Fri;1;1;2016;03:00;41.83;21.65;1.59;25.6;11.0;130.4;18.0;69.89;30.0;24.0;5.0;13.0;13.82;43.0;46.0;8.96;24.81;39.0;5.0;16.3;21.0
Fri;1;1;2016;03:15;39.99;23.8;1.57;25.4;11.0;133.02;19.0;69.79;29.0;24.0;6.0;12.0;13.78;43.0;47.0;8.48;25.32;38.0;5.0;16.35;21.0
Fri;1;1;2016;03:30;40.15;22.93;1.59;25.6;11.0;132.04;18.0;69.82;30.0;24.0;6.0;13.0;13.82;44.0;44.0;8.83;26.06;39.0;5.0;16.31;21.0
Fri;1;1;2016;03:45;39.85;22.55;1.57;25.4;9.0;130.12;19.0;69.79;29.0;24.0;6.0;13.0;13.82;43.0;46.0;8.84;27.57;39.0;4.0;16.32;21.0
Fri;1;1;2016;04:00;41.3;24.61;1.59;25.6;13.0;133.33;19.0;69.85;29.0;24.0;6.0;13.0;13.82;44.0;45.0;8.78;24.88;39.0;5.0;16.34;22.0
Fri;1;1;2016;04:15;39.82;23.03;1.57;25.4;7.0;131.12;18.0;70.36;30.0;24.0;6.0;14.0;13.77;43.0;43.0;8.85;25.21;38.0;5.0;16.3;21.0
Fri;1;1;2016;04:30;40.65;22.1;1.6;25.6;13.0;130.67;19.0;71.78;30.0;24.0;5.0;12.0;13.74;44.0;45.0;8.46;28.59;39.0;5.0;16.29;21.0
Fri;1;1;2016;04:45;40.81;22.7;1.57;25.4;8.0;132.96;18.0;71.75;28.0;25.0;6.0;13.0;13.77;44.0;44.0;8.7;25.06;38.0;4.0;16.32;21.0
Fri;1;1;2016;05:00;40.59;24.09;1.59;25.6;13.0;127.93;18.0;71.71;30.0;24.0;6.0;12.5;13.76;43.0;44.0;8.57;25.1;39.0;5.0;16.32;21.0
Fri;1;1;2016;05:15;40.09;23.57;1.58;25.4;9.0;131.7;20.0;71.75;29.0;24.0;6.0;12.5;13.74;43.0;44.0;8.72;27.0;39.0;4.0;16.32;22.0
Fri;1;1;2016;05:30;41.16;21.25;1.6;25.6;11.0;134.18;19.0;71.74;30.0;24.0;7.0;13.0;13.73;43.0;44.0;8.51;27.49;38.0;5.0;16.32;21.0
Fri;1;1;2016;05:45;40.24;25.1;1.58;25.4;10.0;129.27;19.0;71.73;29.0;24.0;4.0;13.0;13.73;44.0;44.0;8.91;24.77;40.0;5.0;16.34;21.0
Fri;1;1;2016;06:00;40.73;20.84;1.6;25.3;10.0;130.12;19.0;71.69;29.0;24.0;7.0;14.0;13.74;43.0;44.0;8.33;25.44;38.0;5.0;16.24;21.0
Fri;1;1;2016;06:15;39.83;22.63;1.58;25.4;11.0;129.63;19.0;71.72;30.0;24.0;5.0;13.0;13.79;43.67;44.0;9.02;25.15;39.33;4.0;16.3;21.0
Fri;1;1;2016;06:30;41.54;22.65;1.6;25.6;8.0;131.35;19.0;72.17;29.0;24.0;6.0;12.0;13.78;43.67;44.0;8.28;29.5;39.33;5.0;16.32;21.0
Fri;1;1;2016;06:45;38.92;24.06;1.58;25.4;13.0;133.43;19.0;73.13;31.0;24.0;6.0;13.0;13.78;43.67;47.0;8.86;24.56;39.33;5.0;16.34;22.0
Fri;1;1;2016;07:00;38.09;22.32;1.6;25.4;10.0;132.76;19.0;73.24;28.0;25.0;6.0;13.0;13.8;43.67;49.0;8.74;26.21;38.67;4.0;16.32;21.0
Fri;1;1;2016;07:15;40.51;21.25;1.58;25.5;10.0;131.14;19.0;73.18;29.0;24.0;6.0;13.0;13.86;43.67;48.0;8.44;27.26;38.67;5.0;16.34;21.0
Fri;1;1;2016;07:30;40.83;25.19;1.6;25.2;11.0;134.15;20.0;73.02;30.0;24.0;6.0;13.0;13.88;43.67;49.0;9.13;26.22;38.67;5.0;16.36;21.0
Fri;1;1;2016;07:45;40.15;23.24;1.58;25.5;8.0;133.22;18.0;71.03;30.0;24.0;5.0;13.0;13.57;43.0;49.0;8.26;25.49;38.0;4.0;16.32;21.0
Fri;1;1;2016;08:00;41.27;23.47;1.6;25.5;13.0;132.8;18.0;70.54;29.0;24.0;7.0;13.0;13.48;44.0;49.0;8.33;26.25;40.0;5.0;16.34;21.0
Fri;1;1;2016;08:15;39.78;22.06;1.58;25.5;9.0;132.47;18.0;71.31;29.0;24.0;5.0;12.5;13.51;44.0;50.0;8.79;28.03;39.0;4.0;16.34;21.0
Fri;1;1;2016;08:30;40.11;1.79;1.6;25.4;10.0;132.39;19.0;72.67;30.0;24.0;7.0;13.5;13.54;43.0;50.0;9.0;28.25;38.0;4.0;16.33;22.0
Fri;1;1;2016;08:45;40.17;0.84;1.58;25.6;11.0;132.57;19.0;70.04;30.0;24.0;4.0;13.5;13.52;44.0;49.0;8.14;25.97;39.0;5.0;16.33;21.0
Fri;1;1;2016;09:00;41.02;66.88;1.6;25.4;9.0;108.16;19.0;73.11;30.0;24.0;7.0;12.5;13.61;43.0;51.0;8.96;25.9;38.0;5.0;16.32;21.0
Fri;1;1;2016;09:15;40.52;22.66;1.58;25.4;12.0;154.85;19.0;73.16;29.0;24.0;5.0;13.0;14.04;44.0;49.0;8.31;28.25;39.0;4.0;16.34;21.0
Fri;1;1;2016;09:30;40.4;21.78;1.6;25.4;8.0;131.42;20.0;72.97;29.0;24.0;6.0;12.5;14.02;43.0;51.0;8.52;25.31;39.0;5.0;16.37;21.0
Fri;1;1;2016;09:45;41.34;23.36;1.58;25.6;12.0;132.1;19.0;73.75;30.0;25.0;7.0;14.0;14.02;43.0;48.0;9.12;25.68;37.0;4.0;16.33;21.0
Fri;1;1;2016;10:00;40.65;23.18;1.6;25.4;10.0;134.29;19.0;72.87;30.0;24.0;4.0;13.0;14.04;44.0;52.0;8.41;25.39;39.0;5.0;16.43;21.0
Fri;1;1;2016;10:15;39.93;21.4;1.58;25.6;10.0;134.64;19.0;72.83;30.0;24.0;7.0;12.5;14.03;43.0;50.0;8.28;28.98;39.0;5.0;16.32;21.0
Fri;1;1;2016;10:30;40.86;22.81;1.6;25.4;11.0;131.17;20.0;72.8;30.0;24.0;5.0;13.0;14.05;44.0;52.0;9.16;25.08;39.0;4.0;16.37;22.0
Fri;1;1;2016;10:45;41.19;24.67;1.58;25.3;10.0;130.83;19.0;72.76;28.0;24.0;6.0;13.0;14.03;45.0;51.0;8.73;25.97;41.0;5.0;16.52;21.0
Fri;1;1;2016;11:00;40.51;21.57;1.6;25.5;10.0;133.29;20.0;72.82;29.0;25.0;6.0;13.0;14.06;44.0;52.0;8.21;30.56;41.0;5.0;16.4;21.0
Fri;1;1;2016;11:15;39.92;24.84;1.58;25.5;9.0;135.91;18.0;73.8;30.0;24.0;6.0;14.0;14.05;45.0;52.0;9.13;26.25;40.0;4.0;16.49;21.0
Fri;1;1;2016;11:30;40.64;24.03;1.6;25.5;11.0;134.53;19.0;72.82;30.0;24.0;6.0;12.0;14.07;43.0;51.0;8.21;25.29;40.0;5.0;16.48;21.0
Fri;1;1;2016;11:45;41.39;22.92;1.58;25.3;9.0;131.66;18.0;72.77;29.0;24.0;5.0;13.0;14.05;43.0;52.0;9.25;25.68;40.0;4.0;16.55;21.0
Fri;1;1;2016;12:00;40.14;23.2;1.6;25.7;11.0;131.84;20.0;72.82;30.0;24.0;6.0;13.0;14.07;44.0;51.0;8.6;30.6;40.0;4.67;16.47;22.0
Fri;1;1;2016;12:15;40.09;21.45;1.58;25.3;10.0;134.28;20.0;72.82;29.0;25.0;7.0;12.5;14.08;44.0;53.0;8.26;26.7;40.0;4.67;16.51;21.0
Fri;1;1;2016;12:30;40.6;22.26;1.6;25.7;9.0;131.88;20.0;72.81;30.0;24.0;5.0;14.5;22.38;43.67;53.0;9.21;26.04;40.0;4.67;16.67;21.0
Fri;1;1;2016;12:45;40.19;23.96;1.58;25.3;12.0;130.92;20.0;73.84;29.0;24.0;6.0;12.5;14.1;43.67;52.0;8.58;25.51;40.0;5.0;16.47;21.0
Fri;1;1;2016;13:00;41.58;23.17;1.6;25.6;9.0;135.23;20.0;72.91;29.0;24.0;6.0;12.5;20.86;43.67;53.0;8.34;31.74;40.0;5.0;16.56;21.0
Fri;1;1;2016;13:15;40.8;22.42;1.58;25.4;10.0;133.57;20.0;72.98;31.0;24.0;6.0;12.5;13.88;43.0;52.0;9.24;27.1;38.0;4.0;16.56;21.0
Fri;1;1;2016;13:30;40.34;22.26;1.6;25.6;10.0;132.24;20.0;72.92;29.0;25.0;5.0;13.0;15.34;44.0;52.0;8.55;26.43;40.0;5.0;16.47;22.0
Fri;1;1;2016;13:45;40.62;22.51;1.58;25.4;10.0;133.63;20.0;72.99;29.0;24.0;6.0;14.0;15.5;44.0;51.0;8.64;29.13;40.0;5.0;16.58;21.0
Fri;1;1;2016;14:00;40.75;25.85;1.6;25.5;11.0;135.28;20.0;74.02;31.0;24.0;6.0;12.5;16.77;44.0;51.0;9.08;28.52;39.0;4.0;16.63;21.0
Fri;1;1;2016;14:15;41.87;23.3;1.58;25.5;10.0;133.91;21.0;72.99;30.0;24.0;6.0;12.5;15.97;44.0;52.0;8.08;25.13;39.0;5.0;16.45;21.0
Fri;1;1;2016;14:30;40.44;23.05;1.6;25.6;11.0;130.87;20.0;73.0;28.0;24.0;6.0;12.5;16.79;44.0;52.0;9.01;26.27;39.0;5.0;16.39;21.0
Fri;1;1;2016;14:45;40.63;24.16;1.58;25.4;12.0;134.84;20.0;73.01;30.0;25.0;6.0;13.0;14.98;45.0;52.0;9.04;29.68;39.0;5.0;16.45;21.0
Fri;1;1;2016;15:00;40.99;22.46;1.6;25.5;10.0;133.76;19.0;74.12;30.0;24.0;6.0;14.0;16.5;43.0;51.0;8.37;27.48;39.0;4.0;16.41;22.0
Fri;1;1;2016;15:15;40.97;24.55;1.58;25.5;10.0;133.09;20.0;72.98;30.0;24.0;6.0;13.0;16.61;43.0;50.0;9.0;26.18;40.0;5.0;16.44;21.0
Fri;1;1;2016;15:30;41.12;22.98;1.6;25.5;11.0;132.58;20.0;73.12;29.0;24.0;6.0;12.5;14.62;44.0;49.0;8.78;25.9;38.0;5.0;16.4;21.0
Fri;1;1;2016;15:45;40.15;22.81;1.58;25.5;11.0;129.75;21.0;73.06;30.0;24.0;6.0;12.5;14.3;44.0;49.0;8.6;25.28;39.0;5.0;16.41;21.0
Fri;1;1;2016;16:00;40.73;24.71;1.6;25.5;10.0;136.09;20.0;73.01;30.0;24.0;6.0;13.0;14.11;43.0;48.0;10.2;26.16;39.0;4.0;16.43;21.0
Fri;1;1;2016;16:15;41.57;21.51;1.58;25.5;12.0;135.06;20.0;72.97;29.0;24.0;5.0;13.0;14.07;44.0;48.0;9.16;30.76;39.0;5.0;16.41;22.0
Fri;1;1;2016;16:30;40.76;24.69;1.6;25.5;10.0;131.12;20.0;72.91;30.0;24.0;6.0;14.0;14.09;44.0;49.0;8.26;25.58;40.0;5.0;16.41;21.0
Fri;1;1;2016;16:45;37.84;22.88;1.58;25.5;12.0;133.22;20.0;72.93;29.0;25.0;6.0;12.0;14.06;43.0;48.0;8.14;25.67;39.0;5.0;16.39;21.0
Fri;1;1;2016;17:00;39.05;22.18;1.6;25.5;11.0;131.51;20.0;71.94;30.0;24.0;6.0;13.0;14.11;44.0;49.0;7.94;30.05;39.0;5.0;16.43;21.0
Fri;1;1;2016;17:15;41.77;21.44;1.58;25.5;10.0;132.18;20.0;72.94;30.0;24.0;6.0;13.0;14.09;44.0;48.0;8.19;25.8;40.0;5.0;16.48;22.0
Fri;1;1;2016;17:30;41.04;22.14;1.6;25.5;11.0;136.05;20.0;72.86;30.0;24.0;6.0;12.0;14.09;44.0;49.0;8.08;26.85;39.0;5.0;16.36;21.0
Fri;1;1;2016;17:45;40.65;22.16;1.58;25.5;12.0;131.6;20.0;72.79;29.0;24.0;6.0;13.0;14.26;44.0;48.0;7.85;27.15;39.0;5.0;16.34;21.0
Fri;1;1;2016;18:00;41.72;22.76;1.6;25.6;10.0;131.96;19.0;72.38;29.0;25.0;6.0;12.5;14.43;43.0;48.0;7.9;25.09;42.0;5.0;16.38;21.0
Fri;1;1;2016;18:15;40.57;23.19;1.58;25.4;12.0;131.93;20.0;71.96;30.0;24.0;6.0;12.5;14.38;44.0;48.0;8.08;25.46;42.0;5.0;16.41;21.0
Fri;1;1;2016;18:30;40.59;22.73;1.6;25.6;12.0;131.4;19.0;69.9;30.0;24.0;6.0;13.0;14.38;43.0;49.0;7.91;27.22;42.0;5.0;16.37;21.0
Fri;1;1;2016;18:45;39.46;21.42;1.58;25.6;10.0;131.0;19.0;71.71;29.0;24.0;5.0;12.5;14.42;44.0;48.0;7.84;25.75;40.0;5.0;16.49;21.0
Fri;1;1;2016;19:00;39.15;22.75;1.6;25.4;11.0;132.53;21.0;70.86;30.0;24.0;6.0;12.5;14.37;43.0;47.0;7.76;24.98;39.0;5.0;16.34;21.0
Fri;1;1;2016;19:15;38.56;22.79;1.58;25.6;13.0;136.35;20.0;71.7;30.0;25.0;6.0;13.0;6.84;44.0;48.0;7.77;25.32;38.0;5.0;7.77;21.0
Fri;1;1;2016;19:30;40.24;24.36;1.6;25.5;12.0;133.2;19.0;72.09;28.0;24.0;6.0;12.5;0.34;44.0;48.0;7.82;25.9;39.0;5.0;0.38;21.0
Fri;1;1;2016;19:45;40.21;22.92;1.58;25.5;10.0;131.54;20.0;70.21;31.0;24.0;5.0;12.5;0.29;43.0;48.0;8.23;30.35;39.0;4.0;0.31;22.0
Fri;1;1;2016;20:00;41.98;21.67;1.6;25.5;12.0;131.51;19.0;72.5;30.0;24.0;6.0;13.0;50.08;44.0;47.0;7.62;25.16;39.0;6.0;56.99;21.0
Fri;1;1;2016;20:15;39.73;21.63;1.58;25.5;14.0;132.62;20.0;72.52;29.0;24.0;6.0;13.0;14.36;44.0;48.0;7.81;24.99;39.0;5.0;16.26;21.0
Fri;1;1;2016;20:30;40.34;21.98;1.6;25.5;11.0;131.13;19.0;71.79;30.0;24.0;6.0;12.5;14.38;44.0;48.0;7.76;25.28;39.0;5.0;16.32;21.0
Fri;1;1;2016;20:45;40.72;22.15;1.58;25.5;9.0;132.76;20.0;70.27;29.0;24.0;6.0;12.5;14.39;44.0;47.0;8.38;25.17;38.0;5.0;16.32;21.0
Fri;1;1;2016;21:00;40.67;23.77;1.6;25.5;12.0;131.9;20.0;71.45;29.0;24.0;6.0;13.0;14.39;44.0;48.0;7.98;27.09;39.0;4.0;16.35;21.0
Fri;1;1;2016;21:15;39.91;20.86;1.58;25.7;12.0;130.23;19.0;72.03;30.0;25.0;6.0;13.0;14.41;43.0;47.0;8.13;25.26;38.0;6.0;16.32;21.0
Fri;1;1;2016;21:30;39.89;21.55;1.6;25.3;11.0;130.36;20.0;72.02;30.0;24.0;5.0;12.5;14.43;43.0;48.0;7.92;25.19;39.0;4.0;16.36;22.0
Fri;1;1;2016;21:45;40.59;22.14;1.58;25.7;10.0;131.13;20.0;72.98;29.0;24.0;6.0;12.5;13.84;44.0;46.0;7.95;25.24;38.0;5.0;16.31;21.0
Fri;1;1;2016;22:00;40.06;22.85;1.59;25.6;12.0;130.49;20.0;71.93;29.0;24.0;6.0;13.0;13.78;44.0;47.0;8.06;25.18;39.0;5.0;16.34;21.0
Fri;1;1;2016;22:15;39.43;23.35;1.58;25.4;13.0;132.05;19.0;71.93;31.0;24.0;6.0;13.0;13.89;43.0;48.0;7.89;26.5;39.0;5.0;16.37;21.0
Fri;1;1;2016;22:30;40.71;22.74;1.59;25.6;10.0;133.69;20.0;71.9;29.0;24.0;6.0;12.5;13.94;44.0;47.0;7.82;25.38;38.0;5.0;16.34;21.0
Fri;1;1;2016;22:45;39.25;21.76;1.58;25.5;10.0;132.05;20.0;71.96;29.0;24.0;6.0;12.5;13.86;43.0;46.0;7.74;25.17;38.0;5.0;16.34;21.0
Fri;1;1;2016;23:00;37.64;24.04;1.6;25.7;12.0;130.73;19.0;71.93;30.0;24.0;6.0;13.0;13.8;44.0;46.0;7.7;25.09;38.0;4.0;16.43;21.0
Fri;1;1;2016;23:15;39.51;22.53;1.57;25.3;12.0;130.24;19.0;71.86;29.0;25.0;5.5;12.0;13.77;43.0;48.0;7.87;25.24;38.0;5.0;16.3;21.0
Fri;1;1;2016;23:30;41.59;22.07;1.59;25.7;9.0;131.11;20.0;71.85;30.0;24.0;5.5;13.0;13.77;44.0;46.0;7.61;25.03;37.0;5.0;16.3;21.0
Fri;1;1;2016;23:45;39.77;21.98;1.58;25.3;12.0;135.87;19.0;71.9;30.0;24.0;6.0;12.5;13.77;44.0;47.0;7.78;26.42;38.0;4.0;16.36;21.0
Sat;2;1;2016;00:00;40.63;21.72;1.6;25.7;9.0;130.35;20.0;71.92;30.0;24.0;6.0;12.5;13.77;44.0;48.0;7.78;28.77;37.0;5.0;16.28;22.0
Sat;2;1;2016;00:15;40.22;22.49;1.57;25.5;12.0;130.03;18.0;71.89;30.0;24.0;5.0;13.0;13.77;44.0;45.0;7.64;25.35;38.0;5.0;16.34;21.0
Sat;2;1;2016;00:30;40.73;22.4;1.6;25.7;10.0;130.86;19.0;72.92;30.0;24.0;6.0;12.5;13.81;44.0;46.0;8.18;25.01;37.0;4.0;16.34;21.0
Sat;2;1;2016;00:45;39.32;20.9;1.58;25.3;11.0;129.38;18.0;71.89;29.0;24.0;6.0;12.5;13.27;43.0;46.0;7.61;25.18;38.0;5.0;16.32;21.0
Sat;2;1;2016;01:00;40.14;23.94;1.6;25.7;11.0;131.22;19.0;71.88;30.0;24.0;6.0;13.0;13.2;43.0;47.0;8.35;27.87;37.0;5.0;16.3;21.0
Sat;2;1;2016;01:15;39.92;22.26;1.58;25.6;10.0;131.05;18.0;71.72;29.0;24.0;6.0;13.0;13.74;43.0;47.0;8.19;24.76;38.0;4.0;16.06;21.0
Sat;2;1;2016;01:30;40.78;20.82;1.6;25.4;11.0;132.45;18.0;71.81;29.0;24.0;6.0;13.0;13.76;43.0;46.0;7.64;25.62;37.0;5.0;16.13;21.0
Sat;2;1;2016;01:45;39.7;21.49;1.58;25.6;10.0;130.93;18.0;71.71;30.0;24.0;6.0;12.5;13.76;44.0;46.0;7.83;24.63;38.0;4.0;16.3;21.0
Sat;2;1;2016;02:00;39.18;23.94;1.6;25.5;10.0;130.03;19.0;71.79;29.0;25.0;6.0;12.5;13.74;43.0;46.0;8.18;25.75;38.0;5.0;16.16;21.0
Sat;2;1;2016;02:15;40.42;22.78;1.58;25.5;11.0;127.92;18.0;71.7;30.0;24.0;6.0;13.0;13.77;43.0;45.0;8.22;26.86;38.0;5.0;16.01;21.0
Sat;2;1;2016;02:30;40.4;22.58;1.6;25.5;9.0;130.85;18.0;71.72;28.0;24.0;6.0;12.5;13.76;44.0;46.0;7.73;27.1;37.0;4.0;16.34;21.0
Sat;2;1;2016;02:45;39.3;22.02;1.58;25.6;14.0;131.74;18.0;71.83;30.0;24.0;6.0;13.5;13.78;43.0;47.0;7.98;24.58;37.0;5.0;16.31;21.0
Sat;2;1;2016;03:00;40.1;20.57;1.6;25.4;9.0;131.56;18.0;71.8;30.0;24.0;5.0;12.0;13.82;44.0;45.0;7.64;25.63;38.0;4.0;15.96;21.0
Sat;2;1;2016;03:15;41.03;23.41;1.58;25.6;10.0;128.68;18.0;71.82;29.0;24.0;7.0;13.5;13.8;43.0;45.0;7.88;24.7;37.0;5.0;16.33;21.0
Sat;2;1;2016;03:30;39.88;22.31;1.6;25.6;11.0;131.3;18.0;71.86;29.0;24.0;5.0;12.5;13.74;44.0;44.0;7.78;25.34;38.0;5.0;16.31;21.0
Sat;2;1;2016;03:45;39.27;21.6;1.58;25.4;9.0;130.63;18.0;71.89;30.0;24.0;7.0;13.0;13.82;43.0;44.0;8.25;24.88;37.0;4.0;16.03;21.0
Sat;2;1;2016;04:00;37.9;23.72;1.6;25.6;12.0;131.83;18.0;71.84;29.0;24.0;5.0;13.0;13.81;44.0;45.0;7.69;25.18;38.0;5.0;16.12;22.0
Sat;2;1;2016;04:15;39.87;23.82;1.58;25.4;9.0;130.45;18.0;71.87;30.0;24.0;7.0;13.0;13.78;43.0;44.0;7.81;25.06;37.0;4.0;16.32;20.0
Sat;2;1;2016;04:30;40.21;21.78;1.6;25.6;11.0;130.14;18.0;71.89;28.0;24.0;5.0;13.5;13.69;43.0;44.0;7.79;25.02;38.0;5.0;16.37;22.0
Sat;2;1;2016;04:45;39.76;22.32;1.58;25.4;12.0;131.96;18.0;71.82;30.0;24.0;6.0;15.5;13.46;43.0;44.0;7.8;27.79;37.0;4.0;16.28;21.0
Sat;2;1;2016;05:00;40.28;22.02;1.6;25.6;9.0;135.07;18.0;71.85;30.0;24.0;6.0;15.0;13.77;43.0;44.0;7.56;25.05;37.0;5.0;16.26;21.0
Sat;2;1;2016;05:15;40.33;21.07;1.58;25.4;11.0;130.85;18.0;71.8;29.0;24.0;6.0;15.0;13.68;44.0;46.0;8.07;25.33;38.0;4.0;16.37;21.0
Sat;2;1;2016;05:30;39.55;22.71;1.6;25.4;10.0;130.94;18.0;71.82;29.0;24.0;5.0;14.0;13.35;43.0;46.0;7.81;24.81;38.0;5.0;16.31;21.0
Sat;2;1;2016;05:45;39.36;23.33;1.58;25.6;10.0;130.59;17.0;71.8;29.0;24.0;7.0;13.0;13.71;43.0;45.0;7.96;27.0;37.0;4.0;16.35;21.0
Sat;2;1;2016;06:00;40.8;22.29;1.6;25.4;11.0;133.67;18.0;71.78;30.0;24.0;5.0;12.0;13.55;44.0;46.0;8.16;26.28;38.0;5.0;16.32;20.0
Sat;2;1;2016;06:15;39.21;24.16;1.58;25.5;9.0;129.99;18.0;71.75;30.0;25.0;7.0;13.0;13.34;44.0;46.0;7.76;25.15;37.0;4.0;16.36;21.0
Sat;2;1;2016;06:30;39.7;22.23;1.6;25.5;12.0;130.49;18.0;71.73;28.0;24.0;4.0;12.0;13.71;43.0;46.0;7.71;25.04;37.0;5.0;16.34;20.0
Sat;2;1;2016;06:45;39.45;20.8;1.58;25.4;9.0;129.89;18.0;71.7;30.0;24.0;7.0;13.0;13.43;44.0;46.0;7.71;25.03;38.0;4.0;16.28;21.0
Sat;2;1;2016;07:00;40.54;23.36;1.6;25.6;11.0;129.91;17.0;71.58;29.0;24.0;6.0;13.0;13.32;43.0;46.0;8.29;25.04;37.0;5.0;16.26;21.0
Sat;2;1;2016;07:15;39.15;20.84;1.58;25.4;10.0;131.21;18.0;69.68;30.0;24.0;5.0;12.5;13.05;42.0;46.0;8.1;25.04;37.0;4.0;16.32;20.0
Sat;2;1;2016;07:30;39.77;22.51;1.6;25.6;9.0;133.73;17.0;69.76;28.0;24.0;7.0;12.5;13.12;44.0;45.0;7.14;24.99;38.0;5.0;16.32;21.0
Sat;2;1;2016;07:45;37.06;22.13;1.58;25.4;12.0;130.17;18.0;68.79;29.0;24.0;5.0;12.5;13.23;43.0;44.0;7.91;25.08;37.0;4.0;16.28;20.0
Sat;2;1;2016;08:00;38.82;23.61;1.6;25.6;10.0;130.52;18.0;69.71;29.0;24.0;7.0;12.5;13.53;43.0;44.0;7.76;24.94;37.0;4.0;16.34;21.0
Sat;2;1;2016;08:15;39.23;23.46;1.58;25.4;11.0;128.62;17.0;69.69;30.0;24.0;5.0;13.0;13.11;44.0;44.0;7.99;26.58;37.0;4.0;16.33;21.0
Sat;2;1;2016;08:30;40.04;22.19;1.6;25.6;11.0;130.01;18.0;69.69;29.0;24.0;6.0;12.0;13.11;43.0;44.0;7.81;25.62;37.0;5.0;16.35;21.0
Sat;2;1;2016;08:45;40.54;20.87;1.57;25.4;9.0;129.87;18.0;69.65;29.0;24.0;5.0;13.0;13.79;43.0;45.0;7.56;25.05;37.0;4.0;16.31;20.0
Sat;2;1;2016;09:00;40.09;23.58;1.59;25.6;12.0;131.58;18.0;69.73;30.0;24.0;7.0;12.5;14.11;43.0;44.0;7.61;25.06;38.0;4.0;16.32;21.0
Sat;2;1;2016;09:15;39.69;22.34;1.58;25.4;9.0;133.48;18.0;69.65;29.0;24.0;6.0;12.5;13.17;43.0;44.0;7.78;25.14;37.0;4.0;16.37;20.0
Sat;2;1;2016;09:30;39.98;20.75;1.6;25.6;12.0;128.57;17.0;70.84;29.0;24.0;5.0;13.0;13.54;44.0;45.0;7.61;26.88;37.0;5.0;16.32;21.0
Sat;2;1;2016;09:45;40.75;21.32;1.58;25.4;10.0;130.06;18.0;69.83;29.0;24.0;7.0;12.5;13.36;43.0;44.0;7.69;25.83;37.0;4.0;16.36;21.0
Sat;2;1;2016;10:00;39.98;23.94;1.6;25.6;12.0;130.87;18.0;69.82;30.0;24.0;5.0;12.5;13.17;45.0;44.0;8.03;24.96;38.0;4.0;16.31;20.0
