weekday;day;month;year;time;EA+ GERAL PTM (KWh);EA+ AVAC IT PTM (KWh);EA+ IT PTM (KWh)
Thu;25;2;2016;01:15;5.0;1.16;2.31
Thu;25;2;2016;01:30;5.0;0.9;2.3
Thu;25;2;2016;01:45;4.0;0.7;2.31
Thu;25;2;2016;02:00;5.0;1.01;2.31
Thu;25;2;2016;02:15;4.0;0.78;2.32
Thu;25;2;2016;02:30;5.0;1.02;2.3
Thu;25;2;2016;02:45;5.0;0.95;2.32
Thu;25;2;2016;03:00;5.0;0.75;2.32
Thu;25;2;2016;03:15;5.0;1.03;2.38
Thu;25;2;2016;03:30;4.0;0.93;2.32
Thu;25;2;2016;03:45;5.0;1.02;2.31
Thu;25;2;2016;04:00;5.0;0.86;2.31
Thu;25;2;2016;04:15;5.0;0.9;2.32
Thu;25;2;2016;04:30;4.0;0.83;2.32
Thu;25;2;2016;04:45;5.0;0.98;2.31
Thu;25;2;2016;05:00;5.0;0.7;2.31
Thu;25;2;2016;05:15;4.0;0.97;2.31
Thu;25;2;2016;05:30;5.0;0.92;2.31
Thu;25;2;2016;05:45;5.0;0.7;2.31
Thu;25;2;2016;06:00;4.0;0.7;2.3
Thu;25;2;2016;06:15;5.0;1.02;2.32
Thu;25;2;2016;06:30;4.0;0.7;2.31
Thu;25;2;2016;06:45;5.0;0.94;2.3
Thu;25;2;2016;07:00;5.0;0.94;2.32
Thu;25;2;2016;07:15;4.0;0.7;2.31
Thu;25;2;2016;07:30;5.0;0.7;2.31
Thu;25;2;2016;07:45;4.0;0.8;2.32
Thu;25;2;2016;08:00;5.0;0.88;2.31
Thu;25;2;2016;08:15;4.0;0.7;2.31
Thu;25;2;2016;08:30;4.0;0.9;2.31
Thu;25;2;2016;08:45;5.0;0.69;2.32
Thu;25;2;2016;09:00;6.0;0.87;2.46
Thu;25;2;2016;09:15;6.0;1.39;2.47
Thu;25;2;2016;09:30;7.0;1.21;2.44
Thu;25;2;2016;09:45;8.0;1.18;2.34
Thu;25;2;2016;10:00;7.0;1.32;2.33
Thu;25;2;2016;10:15;8.0;1.24;2.34
Thu;25;2;2016;10:30;7.0;1.33;2.34
Thu;25;2;2016;10:45;8.0;1.27;2.34
Thu;25;2;2016;11:00;7.0;1.5;2.34
Thu;25;2;2016;11:15;8.0;1.09;2.34
Thu;25;2;2016;11:30;8.0;1.6;2.33
Thu;25;2;2016;11:45;7.0;1.27;2.34
Thu;25;2;2016;12:00;7.0;1.35;2.34
Thu;25;2;2016;12:15;7.0;1.35;2.34
Thu;25;2;2016;12:30;9.0;2.05;2.33
Thu;25;2;2016;12:45;8.0;1.93;2.33
Thu;25;2;2016;13:00;8.0;1.93;2.33
Thu;25;2;2016;13:15;6.0;1.28;2.33
Thu;25;2;2016;13:30;6.0;1.36;2.35
Thu;25;2;2016;13:45;8.0;1.86;2.48
Thu;25;2;2016;14:00;8.0;1.93;2.47
Thu;25;2;2016;14:15;8.0;1.93;2.42
Thu;25;2;2016;14:30;8.0;1.93;2.35
Thu;25;2;2016;14:45;8.0;1.93;2.34
Thu;25;2;2016;15:00;8.0;1.93;2.34
Thu;25;2;2016;15:15;8.0;1.93;2.33
Thu;25;2;2016;15:30;8.0;1.93;2.34
Thu;25;2;2016;15:45;8.0;1.93;2.34
Thu;25;2;2016;16:00;8.0;1.93;2.34
Thu;25;2;2016;16:15;8.0;1.92;2.47
Thu;25;2;2016;16:30;8.0;1.93;2.48
Thu;25;2;2016;16:45;7.0;1.92;2.46
Thu;25;2;2016;17:00;7.0;1.93;2.34
Thu;25;2;2016;17:15;6.0;1.92;2.34
Thu;25;2;2016;17:30;7.0;1.92;2.34
Thu;25;2;2016;17:45;6.0;1.61;2.34
Thu;25;2;2016;18:00;7.0;1.89;2.33
Thu;25;2;2016;18:15;6.0;1.59;2.32
Thu;25;2;2016;18:30;5.0;1.6;2.31
Thu;25;2;2016;18:45;5.0;1.56;2.31
Thu;25;2;2016;19:00;6.0;1.81;2.31
Thu;25;2;2016;19:15;5.0;1.88;2.32
Thu;25;2;2016;19:30;5.0;1.26;2.32
Thu;25;2;2016;19:45;6.0;1.83;2.32
Thu;25;2;2016;20:00;5.0;1.23;2.32
Thu;25;2;2016;20:15;5.0;1.89;2.32
Thu;25;2;2016;20:30;5.0;1.48;2.31
Thu;25;2;2016;20:45;6.0;1.56;2.31
Thu;25;2;2016;21:00;5.0;1.54;2.31
Thu;25;2;2016;21:15;5.0;1.26;2.32
Thu;25;2;2016;21:30;5.0;1.69;2.31
Thu;25;2;2016;21:45;5.0;1.44;2.32
Thu;25;2;2016;22:00;5.0;1.28;2.32
Thu;25;2;2016;22:15;5.0;1.36;2.32
Thu;25;2;2016;22:30;6.0;1.71;2.32
Thu;25;2;2016;22:45;5.0;1.03;2.32
Thu;25;2;2016;23:00;4.0;1.17;2.32
Thu;25;2;2016;23:15;6.0;1.61;2.32
Thu;25;2;2016;23:30;5.0;1.3;2.32
Thu;25;2;2016;23:45;4.0;1.13;2.31
Fri;26;2;2016;00:00;5.0;1.11;2.32
Fri;26;2;2016;00:15;5.0;1.35;2.31
Fri;26;2;2016;00:30;5.0;1.44;2.31
Fri;26;2;2016;00:45;5.0;1.01;2.31
Fri;26;2;2016;01:00;5.0;1.09;2.32
Fri;26;2;2016;01:15;5.0;1.6;2.32
Fri;26;2;2016;01:30;5.0;0.96;2.32
Fri;26;2;2016;01:45;5.0;1.0;2.32
Fri;26;2;2016;02:00;5.0;1.37;2.32
Fri;26;2;2016;02:15;4.0;1.1;2.32
Fri;26;2;2016;02:30;5.0;0.93;2.32
Fri;26;2;2016;02:45;5.0;1.25;2.31
Fri;26;2;2016;03:00;5.0;1.13;2.32
Fri;26;2;2016;03:15;5.0;1.24;2.32
Fri;26;2;2016;03:30;4.0;0.77;2.31
Fri;26;2;2016;03:45;5.0;1.22;2.32
Fri;26;2;2016;04:00;5.0;1.26;2.37
Fri;26;2;2016;04:15;5.0;0.71;2.31
Fri;26;2;2016;04:30;5.0;1.23;2.32
Fri;26;2;2016;04:45;4.0;1.08;2.31
Fri;26;2;2016;05:00;5.0;0.83;2.32
Fri;26;2;2016;05:15;5.0;1.23;2.31
Fri;26;2;2016;05:30;4.0;0.71;2.31
Fri;26;2;2016;05:45;5.0;1.21;2.31
Fri;26;2;2016;06:00;4.0;0.71;2.32
Fri;26;2;2016;06:15;5.0;1.28;2.31
Fri;26;2;2016;06:30;5.0;0.71;2.31
Fri;26;2;2016;06:45;5.0;1.27;2.32
Fri;26;2;2016;07:00;4.0;0.71;2.31
Fri;26;2;2016;07:15;5.0;0.95;2.31
Fri;26;2;2016;07:30;4.0;0.91;2.31
Fri;26;2;2016;07:45;4.0;0.83;2.32
Fri;26;2;2016;08:00;5.0;1.05;2.31
Fri;26;2;2016;08:15;4.0;0.69;2.3
Fri;26;2;2016;08:30;5.0;1.25;2.31
Fri;26;2;2016;08:45;4.0;0.71;2.31
Fri;26;2;2016;09:00;5.0;0.83;2.33
Fri;26;2;2016;09:15;6.0;1.12;2.34
Fri;26;2;2016;09:30;5.0;0.71;2.33
Fri;26;2;2016;09:45;6.0;1.16;2.35
Fri;26;2;2016;10:00;6.0;0.71;2.35
Fri;26;2;2016;10:15;6.0;1.11;2.36
Fri;26;2;2016;10:30;5.0;0.72;2.36
Fri;26;2;2016;10:45;6.0;1.31;2.41
Fri;26;2;2016;11:00;6.0;0.7;2.4
Fri;26;2;2016;11:15;6.0;1.24;2.4
Fri;26;2;2016;11:30;5.0;0.7;2.39
Fri;26;2;2016;11:45;6.0;1.29;2.4
Fri;26;2;2016;12:00;5.0;0.7;2.4
Fri;26;2;2016;12:15;5.0;1.31;2.4
Fri;26;2;2016;12:30;5.0;0.7;2.39
Fri;26;2;2016;12:45;6.0;1.26;2.4
Fri;26;2;2016;13:00;5.0;0.73;2.4
Fri;26;2;2016;13:15;6.0;1.29;2.38
Fri;26;2;2016;13:30;5.0;0.85;2.37
Fri;26;2;2016;13:45;6.0;1.08;2.36
Fri;26;2;2016;14:00;5.0;0.88;2.39
Fri;26;2;2016;14:15;5.0;1.15;2.4
Fri;26;2;2016;14:30;6.0;1.23;2.39
Fri;26;2;2016;14:45;5.0;0.74;2.38
Fri;26;2;2016;15:00;6.0;1.34;2.39
Fri;26;2;2016;15:15;5.0;0.9;2.39
Fri;26;2;2016;15:30;7.0;1.07;2.49
Fri;26;2;2016;15:45;8.0;1.83;2.41
Fri;26;2;2016;16:00;7.0;1.14;2.41
Fri;26;2;2016;16:15;8.0;1.72;2.44
Fri;26;2;2016;16:30;5.0;0.91;2.39
Fri;26;2;2016;16:45;6.0;1.27;2.43
Fri;26;2;2016;17:00;6.0;1.11;2.42
Fri;26;2;2016;17:15;5.0;0.83;2.42
Fri;26;2;2016;17:30;6.0;1.02;2.42
Fri;26;2;2016;17:45;6.0;1.02;2.42
Fri;26;2;2016;18:00;5.0;1.15;2.4
Fri;26;2;2016;18:15;5.0;0.76;2.39
Fri;26;2;2016;18:30;6.0;1.26;2.36
Fri;26;2;2016;18:45;5.0;0.84;2.38
Fri;26;2;2016;19:00;5.0;0.86;2.38
Fri;26;2;2016;19:15;5.0;0.86;2.38
Fri;26;2;2016;19:30;5.0;1.31;2.37
Fri;26;2;2016;19:45;4.0;0.69;2.38
Fri;26;2;2016;20:00;5.0;1.12;2.38
Fri;26;2;2016;20:15;4.0;0.69;2.37
Fri;26;2;2016;20:30;5.0;0.72;2.37
Fri;26;2;2016;20:45;5.0;1.16;2.38
Fri;26;2;2016;21:00;4.0;0.7;2.37
Fri;26;2;2016;21:15;5.0;0.9;2.37
Fri;26;2;2016;21:30;4.0;0.93;2.38
Fri;26;2;2016;21:45;5.0;0.7;2.37
Fri;26;2;2016;22:00;4.0;0.7;2.38
Fri;26;2;2016;22:15;5.0;0.7;2.38
Fri;26;2;2016;22:30;4.0;0.7;2.37
Fri;26;2;2016;22:45;5.0;0.7;2.37
Fri;26;2;2016;23:00;4.0;0.81;2.34
Fri;26;2;2016;23:15;5.0;0.7;2.32
Fri;26;2;2016;23:30;4.0;0.7;2.32
Fri;26;2;2016;23:45;4.0;0.7;2.32
Sat;27;2;2016;00:00;5.0;0.69;2.32
Sat;27;2;2016;00:15;4.0;0.7;2.31
Sat;27;2;2016;00:30;4.0;0.7;2.33
Sat;27;2;2016;00:45;5.0;0.69;2.32
Sat;27;2;2016;01:00;4.0;0.69;2.32
Sat;27;2;2016;01:15;5.0;0.7;2.31
Sat;27;2;2016;01:30;4.0;0.69;2.32
Sat;27;2;2016;01:45;4.0;0.7;2.31
Sat;27;2;2016;02:00;5.0;0.69;2.33
Sat;27;2;2016;02:15;4.0;0.7;2.31
Sat;27;2;2016;02:30;5.0;0.7;2.31
Sat;27;2;2016;02:45;4.0;0.7;2.31
Sat;27;2;2016;03:00;4.0;0.7;2.32
Sat;27;2;2016;03:15;5.0;0.7;2.31
Sat;27;2;2016;03:30;4.0;0.7;2.32
Sat;27;2;2016;03:45;5.0;0.7;2.3
Sat;27;2;2016;04:00;4.0;0.7;2.32
Sat;27;2;2016;04:15;4.0;0.7;2.31
Sat;27;2;2016;04:30;5.0;0.7;2.32
Sat;27;2;2016;04:45;4.0;0.7;2.31
Sat;27;2;2016;05:00;5.0;0.7;2.31
Sat;27;2;2016;05:15;4.0;0.7;2.31
Sat;27;2;2016;05:30;4.0;0.7;2.32
Sat;27;2;2016;05:45;5.0;0.7;2.32
Sat;27;2;2016;06:00;4.0;0.7;2.31
Sat;27;2;2016;06:15;4.0;0.7;2.32
Sat;27;2;2016;06:30;5.0;0.7;2.31
Sat;27;2;2016;06:45;4.0;0.7;2.32
Sat;27;2;2016;07:00;5.0;0.69;2.31
Sat;27;2;2016;07:15;4.0;0.7;2.32
Sat;27;2;2016;07:30;4.0;0.69;2.32
Sat;27;2;2016;07:45;4.0;0.69;2.32
Sat;27;2;2016;08:00;4.0;0.69;2.31
Sat;27;2;2016;08:15;5.0;0.7;2.31
Sat;27;2;2016;08:30;4.0;0.7;2.31
Sat;27;2;2016;08:45;4.0;0.7;2.31
Sat;27;2;2016;09:00;4.0;0.69;2.31
Sat;27;2;2016;09:15;4.0;0.69;2.32
Sat;27;2;2016;09:30;5.0;0.69;2.41
Sat;27;2;2016;09:45;4.0;0.69;2.31
Sat;27;2;2016;10:00;4.0;0.69;2.31
Sat;27;2;2016;10:15;4.0;0.69;2.31
Sat;27;2;2016;10:30;4.0;0.69;2.31
Sat;27;2;2016;10:45;5.0;0.69;2.32
Sat;27;2;2016;11:00;4.0;0.69;2.31
Sat;27;2;2016;11:15;4.0;0.69;2.31
Sat;27;2;2016;11:30;4.0;0.69;2.32
Sat;27;2;2016;11:45;4.0;0.69;2.32
Sat;27;2;2016;12:00;4.0;0.69;2.31
Sat;27;2;2016;12:15;5.0;0.69;2.31
Sat;27;2;2016;12:30;4.0;0.71;2.32
Sat;27;2;2016;12:45;4.0;0.71;2.31
Sat;27;2;2016;13:00;4.0;0.7;2.31
Sat;27;2;2016;13:15;4.0;0.71;2.32
Sat;27;2;2016;13:30;5.0;0.7;2.32
Sat;27;2;2016;13:45;4.0;0.7;2.31
Sat;27;2;2016;14:00;4.0;0.7;2.31
Sat;27;2;2016;14:15;4.0;0.71;2.31
Sat;27;2;2016;14:30;4.0;0.7;2.32
Sat;27;2;2016;14:45;5.0;0.7;2.31
Sat;27;2;2016;15:00;4.0;0.7;2.32
Sat;27;2;2016;15:15;4.0;0.71;2.31
Sat;27;2;2016;15:30;4.0;0.7;2.32
Sat;27;2;2016;15:45;4.0;0.71;2.32
Sat;27;2;2016;16:00;5.0;0.71;2.31
Sat;27;2;2016;16:15;4.0;0.71;2.31
Sat;27;2;2016;16:30;4.0;0.7;2.31
Sat;27;2;2016;16:45;4.0;0.7;2.31
Sat;27;2;2016;17:00;5.0;0.7;2.32
Sat;27;2;2016;17:15;4.0;0.7;2.31
Sat;27;2;2016;17:30;4.0;0.7;2.31
Sat;27;2;2016;17:45;5.0;0.7;2.31
Sat;27;2;2016;18:00;4.0;0.7;2.32
Sat;27;2;2016;18:15;5.0;0.7;2.32
Sat;27;2;2016;18:30;4.0;0.7;2.32
Sat;27;2;2016;18:45;4.0;0.7;2.32
Sat;27;2;2016;19:00;5.0;0.69;2.32
Sat;27;2;2016;19:15;4.0;0.69;2.32
Sat;27;2;2016;19:30;5.0;0.69;2.33
Sat;27;2;2016;19:45;4.0;0.7;2.32
Sat;27;2;2016;20:00;4.0;0.7;2.32
Sat;27;2;2016;20:15;5.0;0.69;2.33
Sat;27;2;2016;20:30;4.0;0.7;2.32
Sat;27;2;2016;20:45;5.0;0.7;2.32
Sat;27;2;2016;21:00;4.0;0.69;2.31
Sat;27;2;2016;21:15;4.0;0.7;2.32
Sat;27;2;2016;21:30;5.0;0.7;2.32
Sat;27;2;2016;21:45;4.0;0.7;2.32
Sat;27;2;2016;22:00;4.4;0.7;2.32
Sat;27;2;2016;22:15;4.4;0.7;2.32
Sat;27;2;2016;22:30;4.4;0.7;2.32
Sat;27;2;2016;22:45;4.4;0.7;2.32
Sat;27;2;2016;23:00;4.4;0.7;2.32
Sat;27;2;2016;23:15;4.0;0.7;2.32
Sat;27;2;2016;23:30;5.0;0.7;2.32
Sat;27;2;2016;23:45;4.0;0.71;2.32
Sun;28;2;2016;00:00;5.0;0.71;2.32
Sun;28;2;2016;00:15;4.0;0.71;2.32
Sun;28;2;2016;00:30;4.0;0.71;2.32
Sun;28;2;2016;00:45;5.0;0.71;2.32
Sun;28;2;2016;01:00;4.0;0.71;2.32
Sun;28;2;2016;01:15;5.0;0.71;2.31
Sun;28;2;2016;01:30;4.0;0.71;2.31
Sun;28;2;2016;01:45;4.0;0.71;2.32
Sun;28;2;2016;02:00;5.0;0.71;2.32
Sun;28;2;2016;02:15;4.0;0.71;2.31
Sun;28;2;2016;02:30;5.0;0.71;2.32
Sun;28;2;2016;02:45;4.0;0.71;2.31
Sun;28;2;2016;03:00;4.0;0.71;2.32
Sun;28;2;2016;03:15;5.0;0.71;2.3
Sun;28;2;2016;03:30;4.0;0.71;2.32
Sun;28;2;2016;03:45;5.0;0.71;2.31
Sun;28;2;2016;04:00;4.0;0.71;2.31
Sun;28;2;2016;04:15;4.0;0.71;2.32
Sun;28;2;2016;04:30;5.0;0.71;2.31
Sun;28;2;2016;04:45;4.0;0.71;2.31
Sun;28;2;2016;05:00;5.0;0.71;2.31
Sun;28;2;2016;05:15;4.0;0.71;2.31
Sun;28;2;2016;05:30;4.0;0.71;2.31
Sun;28;2;2016;05:45;5.0;0.71;2.32
Sun;28;2;2016;06:00;4.0;0.71;2.31
Sun;28;2;2016;06:15;5.0;0.71;2.3
Sun;28;2;2016;06:30;4.0;0.71;2.32
Sun;28;2;2016;06:45;4.0;0.71;2.31
Sun;28;2;2016;07:00;5.0;0.72;2.31
Sun;28;2;2016;07:15;4.0;0.71;2.31
Sun;28;2;2016;07:30;4.0;0.71;2.32
Sun;28;2;2016;07:45;5.0;0.71;2.31
Sun;28;2;2016;08:00;4.0;0.71;2.32
Sun;28;2;2016;08:15;5.0;0.71;2.3
Sun;28;2;2016;08:30;4.0;0.71;2.31
Sun;28;2;2016;08:45;4.0;0.71;2.31
Sun;28;2;2016;09:00;4.0;0.71;2.31
Sun;28;2;2016;09:15;4.0;0.71;2.39
Sun;28;2;2016;09:30;5.0;0.71;2.31
Sun;28;2;2016;09:45;4.0;0.71;2.31
Sun;28;2;2016;10:00;4.0;0.71;2.31
Sun;28;2;2016;10:15;4.0;0.7;2.32
Sun;28;2;2016;10:30;5.0;0.71;2.31
Sun;28;2;2016;10:45;4.0;0.7;2.31
Sun;28;2;2016;11:00;4.0;0.7;2.33
Sun;28;2;2016;11:15;4.0;0.71;2.3
Sun;28;2;2016;11:30;4.0;0.7;2.31
Sun;28;2;2016;11:45;5.0;0.71;2.31
Sun;28;2;2016;12:00;4.0;0.7;2.31
Sun;28;2;2016;12:15;4.0;0.71;2.31
Sun;28;2;2016;12:30;4.0;0.7;2.32
Sun;28;2;2016;12:45;4.0;0.71;2.31
Sun;28;2;2016;13:00;5.0;0.7;2.3
Sun;28;2;2016;13:15;4.0;0.71;2.32
Sun;28;2;2016;13:30;4.0;0.71;2.31
Sun;28;2;2016;13:45;4.0;0.71;2.31
Sun;28;2;2016;14:00;4.0;0.71;2.31
Sun;28;2;2016;14:15;5.0;0.71;2.31
Sun;28;2;2016;14:30;4.0;0.71;2.32
Sun;28;2;2016;14:45;4.0;0.71;2.3
Sun;28;2;2016;15:00;4.0;0.71;2.31
Sun;28;2;2016;15:15;5.0;0.71;2.32
Sun;28;2;2016;15:30;4.0;0.71;2.32
Sun;28;2;2016;15:45;4.0;0.71;2.31
Sun;28;2;2016;16:00;4.0;0.71;2.31
Sun;28;2;2016;16:15;4.0;0.71;2.31
Sun;28;2;2016;16:30;5.0;0.7;2.31
Sun;28;2;2016;16:45;4.0;0.71;2.32
Sun;28;2;2016;17:00;4.0;0.71;2.33
Sun;28;2;2016;17:15;5.0;0.71;2.31
Sun;28;2;2016;17:30;4.0;0.7;2.32
Sun;28;2;2016;17:45;4.0;0.7;2.31
Sun;28;2;2016;18:00;5.0;0.7;2.31
Sun;28;2;2016;18:15;4.0;0.7;2.32
Sun;28;2;2016;18:30;5.0;0.7;2.32
Sun;28;2;2016;18:45;4.0;0.7;2.31
Sun;28;2;2016;19:00;5.0;1.15;2.31
Sun;28;2;2016;19:15;4.0;0.69;2.32
Sun;28;2;2016;19:30;5.0;0.69;2.32
Sun;28;2;2016;19:45;4.0;0.91;2.31
Sun;28;2;2016;20:00;5.0;0.94;2.33
Sun;28;2;2016;20:15;4.0;0.7;2.32
Sun;28;2;2016;20:30;5.0;0.73;2.33
Sun;28;2;2016;20:45;5.0;1.25;2.31
Sun;28;2;2016;21:00;4.0;0.7;2.32
Sun;28;2;2016;21:15;4.0;0.7;2.32
Sun;28;2;2016;21:30;5.0;0.7;2.32
Sun;28;2;2016;21:45;4.0;1.09;2.32
Sun;28;2;2016;22:00;5.0;0.7;2.33
Sun;28;2;2016;22:15;4.0;0.7;2.32
Sun;28;2;2016;22:30;5.0;0.7;2.32
Sun;28;2;2016;22:45;4.0;0.71;2.32
Sun;28;2;2016;23:00;4.0;0.73;2.32
Sun;28;2;2016;23:15;5.0;1.13;2.32
Sun;28;2;2016;23:30;5.0;0.71;2.32
Sun;28;2;2016;23:45;4.0;0.71;2.32
Mon;29;2;2016;00:00;5.0;0.71;2.31
Mon;29;2;2016;00:15;4.0;0.71;2.32
Mon;29;2;2016;00:30;4.0;0.71;2.31
Mon;29;2;2016;00:45;5.0;0.71;2.31
Mon;29;2;2016;01:00;4.0;0.71;2.32
Mon;29;2;2016;01:15;5.0;0.71;2.31
Mon;29;2;2016;01:30;4.0;0.71;2.31
Mon;29;2;2016;01:45;4.0;0.71;2.32
Mon;29;2;2016;02:00;5.0;0.71;2.31
Mon;29;2;2016;02:15;4.0;0.71;2.32
Mon;29;2;2016;02:30;5.0;0.71;2.3
Mon;29;2;2016;02:45;4.0;0.71;2.31
Mon;29;2;2016;03:00;4.0;0.71;2.31
Mon;29;2;2016;03:15;5.0;0.71;2.32
Mon;29;2;2016;03:30;4.0;0.71;2.31
Mon;29;2;2016;03:45;5.0;0.71;2.31
Mon;29;2;2016;04:00;4.0;0.71;2.31
Mon;29;2;2016;04:15;4.0;0.71;2.31
Mon;29;2;2016;04:30;5.0;0.71;2.32
Mon;29;2;2016;04:45;4.0;0.71;2.31
Mon;29;2;2016;05:00;5.0;0.71;2.31
Mon;29;2;2016;05:15;4.0;0.71;2.31
Mon;29;2;2016;05:30;4.0;0.71;2.31
Mon;29;2;2016;05:45;5.0;0.71;2.31
Mon;29;2;2016;06:00;4.0;0.71;2.31
Mon;29;2;2016;06:15;5.0;0.71;2.31
Mon;29;2;2016;06:30;4.0;0.72;2.31
Mon;29;2;2016;06:45;5.0;0.72;2.31
Mon;29;2;2016;07:00;4.0;0.71;2.31
Mon;29;2;2016;07:15;4.0;0.71;2.32
Mon;29;2;2016;07:30;4.0;0.71;2.32
Mon;29;2;2016;07:45;5.0;0.71;2.32
Mon;29;2;2016;08:00;4.0;0.71;2.31
Mon;29;2;2016;08:15;4.0;0.71;2.32
Mon;29;2;2016;08:30;4.0;0.71;2.31
Mon;29;2;2016;08:45;4.0;0.71;2.32
Mon;29;2;2016;09:00;6.0;0.71;2.34
Mon;29;2;2016;09:15;5.0;0.71;2.36
Mon;29;2;2016;09:30;5.0;0.71;2.34
Mon;29;2;2016;09:45;6.0;0.71;2.37
Mon;29;2;2016;10:00;5.0;0.71;2.36
Mon;29;2;2016;10:15;5.0;0.71;2.47
Mon;29;2;2016;10:30;6.0;0.71;2.43
Mon;29;2;2016;10:45;5.0;0.71;2.41
Mon;29;2;2016;11:00;5.0;0.71;2.43
Mon;29;2;2016;11:15;6.0;0.71;2.43
Mon;29;2;2016;11:30;5.0;0.71;2.4
Mon;29;2;2016;11:45;5.0;0.71;2.42
Mon;29;2;2016;12:00;5.0;0.71;2.41
Mon;29;2;2016;12:15;6.0;0.71;2.41
Mon;29;2;2016;12:30;5.0;0.71;2.4
Mon;29;2;2016;12:45;5.0;0.71;2.39
Mon;29;2;2016;13:00;5.0;0.71;2.39
Mon;29;2;2016;13:15;5.0;0.71;2.4
Mon;29;2;2016;13:30;5.0;0.71;2.4
Mon;29;2;2016;13:45;6.0;0.71;2.41
Mon;29;2;2016;14:00;5.0;0.71;2.42
Mon;29;2;2016;14:15;6.0;0.71;2.42
Mon;29;2;2016;14:30;5.0;0.72;2.42
Mon;29;2;2016;14:45;6.0;1.23;2.41
Mon;29;2;2016;15:00;6.0;1.4;2.42
Mon;29;2;2016;15:15;5.0;0.98;2.42
Mon;29;2;2016;15:30;6.0;1.13;2.43
Mon;29;2;2016;15:45;6.0;1.63;2.42
Mon;29;2;2016;16:00;6.0;1.41;2.42
Mon;29;2;2016;16:15;6.0;1.25;2.43
Mon;29;2;2016;16:30;7.0;1.51;2.42
Mon;29;2;2016;16:45;6.0;1.69;2.43
Mon;29;2;2016;17:00;6.0;1.34;2.43
Mon;29;2;2016;17:15;7.0;1.92;2.43
Mon;29;2;2016;17:30;6.0;1.24;2.39
Mon;29;2;2016;17:45;7.0;1.88;2.37
Mon;29;2;2016;18:00;6.0;1.22;2.38
Mon;29;2;2016;18:15;7.0;1.82;2.38
Mon;29;2;2016;18:30;6.0;1.33;2.5
Mon;29;2;2016;18:45;8.0;1.88;2.48
Mon;29;2;2016;19:00;8.0;1.88;2.46
Mon;29;2;2016;19:15;7.0;1.88;2.32
Mon;29;2;2016;19:30;7.0;1.87;2.43
Mon;29;2;2016;19:45;7.0;1.87;2.35
Mon;29;2;2016;20:00;5.0;1.25;2.33
Mon;29;2;2016;20:15;5.0;1.37;2.32
Mon;29;2;2016;20:30;5.0;1.65;2.33
Mon;29;2;2016;20:45;5.0;0.97;2.32
Mon;29;2;2016;21:00;5.0;1.79;2.33
Mon;29;2;2016;21:15;5.0;1.26;2.32
Mon;29;2;2016;21:30;5.0;1.21;2.32
Mon;29;2;2016;21:45;5.0;1.27;2.32
Mon;29;2;2016;22:00;5.0;1.55;2.32
Mon;29;2;2016;22:15;5.0;1.19;2.33
Mon;29;2;2016;22:30;5.0;1.08;2.32
Mon;29;2;2016;22:45;5.0;1.45;2.32
Mon;29;2;2016;23:00;5.0;1.34;2.32
Mon;29;2;2016;23:15;5.0;0.83;2.33
Mon;29;2;2016;23:30;5.0;1.34;2.33
Mon;29;2;2016;23:45;5.0;1.28;2.33
Tue;1;3;2016;00:00;4.0;0.93;2.32
Tue;1;3;2016;00:15;5.0;1.06;2.32
Tue;1;3;2016;00:30;5.0;1.21;2.32
Tue;1;3;2016;00:45;4.0;0.8;2.32
Tue;1;3;2016;01:00;5.0;1.1;2.32
Tue;1;3;2016;01:15;5.0;1.2;2.32
Tue;1;3;2016;01:30;5.0;0.76;2.33
Tue;1;3;2016;01:45;4.0;0.75;2.32
Tue;1;3;2016;02:00;5.0;1.08;2.31
Tue;1;3;2016;02:15;4.0;0.71;2.32
Tue;1;3;2016;02:30;5.0;0.71;2.32
Tue;1;3;2016;02:45;4.0;0.81;2.32
Tue;1;3;2016;03:00;5.0;1.09;2.32
Tue;1;3;2016;03:15;4.0;0.71;2.32
Tue;1;3;2016;03:30;5.0;0.71;2.32
Tue;1;3;2016;03:45;4.0;0.71;2.32
Tue;1;3;2016;04:00;5.0;0.71;2.32
Tue;1;3;2016;04:15;4.0;0.71;2.32
Tue;1;3;2016;04:30;4.0;0.71;2.31
Tue;1;3;2016;04:45;5.0;0.71;2.32
Tue;1;3;2016;05:00;4.0;0.71;2.32
Tue;1;3;2016;05:15;5.0;0.71;2.32
Tue;1;3;2016;05:30;4.0;0.71;2.32
Tue;1;3;2016;05:45;4.0;0.71;2.32
Tue;1;3;2016;06:00;5.0;0.71;2.32
Tue;1;3;2016;06:15;4.0;0.71;2.32
Tue;1;3;2016;06:30;5.0;0.71;2.31
Tue;1;3;2016;06:45;4.0;0.71;2.32
Tue;1;3;2016;07:00;4.0;0.71;2.32
Tue;1;3;2016;07:15;5.0;0.7;2.31
Tue;1;3;2016;07:30;4.0;0.7;2.31
Tue;1;3;2016;07:45;4.0;0.7;2.32
Tue;1;3;2016;08:00;4.0;0.69;2.32
Tue;1;3;2016;08:15;4.0;0.69;2.33
Tue;1;3;2016;08:30;5.0;0.7;2.32
Tue;1;3;2016;08:45;4.0;0.7;2.31
Tue;1;3;2016;09:00;4.0;0.69;2.32
Tue;1;3;2016;09:15;6.0;0.69;2.49
Tue;1;3;2016;09:30;5.0;0.69;2.49
Tue;1;3;2016;09:45;5.0;0.69;2.46
Tue;1;3;2016;10:00;6.0;0.69;2.35
